Name,Type,Lat,Lon
Evanghelische Kirche,lacase_cult,45.8167065,24.0287283
Schitul Cerebuc Sihăstria,lacase_cult,46.9906165,25.9802275
Biserica Măcărești,lacase_cult,47.0304893,27.9787891
Mănăstirea Ștefan cel Mare,lacase_cult,46.2232962,26.5251833
Biserica,lacase_cult,46.8321058,25.8230471
Biserica Ecumenică,lacase_cult,45.7501384,22.9078451
Biserica,lacase_cult,47.1782705,27.5804421
Biserica Creștin Baptistă Biruința,lacase_cult,45.8887747,22.9082172
Biserica Ortodoxă Noul Român,lacase_cult,45.8049847,24.5796727
Biserica Prisăcani,lacase_cult,47.0846664,27.8827762
Biserica Curelari,lacase_cult,47.1665351,27.590841
Biserica Sfântul Ștefan,lacase_cult,47.1720147,27.5894033
Biserica Marpod,lacase_cult,45.8771798,24.4976008
Biserica de lemn din Ilimbav,lacase_cult,45.8696638,24.5268472
Biserica Ortodoxă,lacase_cult,47.0016606,24.6077719
Biserica de lemn din Sărata,lacase_cult,47.070964,24.4371149
Biserica Sfânta Ana (Mănăstirea Ursulinelor),lacase_cult,47.0577192,21.9323101
"Biserica Ortodoxă ""Platoul Romanilor""",lacase_cult,46.0714194,23.552531
Sala Regatului a Martorilor lui Iehova,lacase_cult,46.0736901,23.5555595
Casa de Rugăciune Maranata,lacase_cult,46.075988,23.5573192
Biserica Mihai Viteazul,lacase_cult,46.0638198,23.5733506
Biserica Sf Apostoli Petru și Pavel,lacase_cult,46.0730804,23.5654461
Biserica Baptistă,lacase_cult,46.8239545,21.6760909
Liga Islamică și culturală,lacase_cult,46.7612185,23.5780645
Casă de Rugăciuni Penticostală Muntele Sionului,lacase_cult,45.8644626,22.9096593
Biserică cetate,lacase_cult,46.0605341,24.3427605
Mănăstirea Trotușanu,lacase_cult,45.984782,27.0959059
Biserica Munteni,lacase_cult,47.4252398,26.9073602
Biserica Veche,lacase_cult,45.0535713,25.9573186
Biserica Dacia,lacase_cult,46.0091572,25.1534211
"Biserica Greco-Catolică ""Sfinţii Apostoli Petru şi Pavel""",lacase_cult,47.81613,24.061603
Biserica Catolică Santău,lacase_cult,47.5097739,22.5079114
Biserica,lacase_cult,44.8916757,21.7235625
Biserica,lacase_cult,46.9475331,26.9979236
Biserica Ortodoxă Precista Mare,lacase_cult,46.9198534,26.9278898
Mânăstirea Gologanu,lacase_cult,45.7450054,27.7279963
Biserica Biscaria,lacase_cult,45.8556629,23.0130238
Biserica,lacase_cult,47.8403983,26.7503433
