Name,Type,Lat,Lon
Biserica fortificată din Viscri,lacas de cult,46.0548612,25.0885808
Biserica Sfântul Antonie - Colentina,lacas de cult,44.4601104,26.1335943
Biserica Sf Ion,lacas de cult,45.9632689,24.7305704
Biserică Fortificată,lacas de cult,46.1375642,24.4140861
Biserica Sfântul Ilie - Dancu,lacas de cult,47.1539149,27.6645401
Biserica de Lemn Sfinții Arhangheli,lacas de cult,47.8028594,23.9221228
Biserica Ortodoxă Schitu Măgureanu,lacas de cult,44.439188,26.087344
Geamie Osmancea,lacas de cult,44.0125426,28.3233392
Adormirea Maicii Domnului,lacas de cult,46.9483601,26.4442365
Biserica Catolică,lacas de cult,45.9650376,21.4776323
"Casa de rugăciune ""Filadelfia""",lacas de cult,45.9644125,21.4760582
Biserica Ortodoxă,lacas de cult,45.9650232,21.482434
Biserica Ortodoxă Greacă,lacas de cult,46.3420956,21.3078466
Biserica Ortodoxă Română,lacas de cult,46.3419075,21.3076908
Biserica Ortodoxă,lacas de cult,46.3851518,21.3111335
Biserica Nașterea Maicii Domnului,lacas de cult,47.2164749,27.522049
Mănăstirea Râmeț,lacas de cult,46.300868,23.5215663
Biserica,lacas de cult,46.3398326,21.3121171
Biserica Nașterea Maicii Domnului,lacas de cult,47.3473312,25.3485232
Biserica Ortodoxă Negrești - Sf. Ilie,lacas de cult,47.3435157,25.3488022
Mânăstirea Măgura Ocnei (Înălțarea Domnului),lacas de cult,46.2707925,26.586395
Catedrala Sfânta Treime,lacas de cult,47.3445315,25.3562509
Biserica Bârnărel,lacas de cult,47.3498094,25.3681545
Mănăstirea Sfântul Dimitrie,lacas de cult,47.3476713,25.3695471
Sf Mina,lacas de cult,46.9368819,26.3804598
Biserica Ortodoxă Sf. Alexandru,lacas de cult,44.4566275,26.1412016
Biserica Catolică Sfântul Iosif,lacas de cult,46.6423289,27.7277364
Mănăstirea Cebza,lacas de cult,45.5589521,21.0642668
Biserica Sfântu Vasile,lacas de cult,46.9506889,24.6920995
Biserica Gledin,lacas de cult,46.9565295,24.7057062
Biserica Ortodoxă - Hodișa,lacas de cult,47.5770043,22.9743149
Biserica Reformată,lacas de cult,47.4760705,22.5818012
"Biserica Ortodoxă ""Sfânta Treime - Dudești""",lacas de cult,44.4224012,26.1321784
"Biserica Ortodoxă ""Delea Nouă - Calist""",lacas de cult,44.4313839,26.1305134
Biserica Ortodoxă „Dichiu”,lacas de cult,44.4476107,26.1107163
Biserica Văculești,lacas de cult,47.8762052,26.4123283
Mănăstirea Țeghea,lacas de cult,47.5866343,22.7201974
Biserica Sfântul Iosif,lacas de cult,45.1525826,26.8114058
Biserica Sfânta Parascheva,lacas de cult,45.1558472,26.8057625
Biserica Sfinții Mihail și Gavril,lacas de cult,45.1374809,26.8316764
Maranata,lacas de cult,45.7661293,21.2820593
Biserica Podgoria,lacas de cult,47.0595695,22.0026115
Biserica Catolică Mădăras,lacas de cult,47.6834397,22.8643308
Biserica Greco-Catolică,lacas de cult,46.9967468,21.9967072
Biserica Sfântul Nicolae - Socola,lacas de cult,47.1443308,27.5952762
Biserica Mănăstirii Premonstratense Maica Îndurerată,lacas de cult,47.0600859,21.9315468
Piarista Tanulmányi Ház,lacas de cult,46.367744,25.8088144
Congregația Surorilor Oblate Asumpționiste „Mănăstirea Sfânta Treime”,lacas de cult,44.4904479,26.0922645
Biserica Ortodoxă „Sfântul Ilie”,lacas de cult,45.3874831,27.0615788
Biserica Eroilor,lacas de cult,43.89822,25.9683241
Biserica Cucuteni,lacas de cult,47.2738499,26.9381068
Schitul Cotnari - Liteanca,lacas de cult,47.3479026,26.9453325
Biserica Sf Dumitru,lacas de cult,47.4273955,26.9042821
Mănăstirea Vorona,lacas de cult,47.5803264,26.6654546
Mănăstirea Vorona,lacas de cult,47.579539,26.665652
Cimitir,lacas de cult,45.7411152,22.9856339
biserică,lacas de cult,45.0853814,26.4118987
Biserica Romano-Catolică Craidorolț,lacas de cult,47.6121235,22.703155
Biserica Ortodoxă Pișcari,lacas de cult,47.6549029,22.7301068
Biserica Sf.Iosif,lacas de cult,47.7926817,22.8887129
Biserica Ortodoxă Amați,lacas de cult,47.7410192,22.921748
Biserica,lacas de cult,45.3623326,26.6623598
Biserica Sfinții Trei Ierarh,lacas de cult,46.5301169,24.5563716
Schit Zosim vechi,lacas de cult,47.6558298,26.7697298
Biserica Lăzești,lacas de cult,46.4210711,22.9085273
Biserica Sfântul Anton de Padova,lacas de cult,45.5607876,25.325779
Biserica Creștină Adventistă de Ziua a Șaptea,lacas de cult,44.2056438,27.3118545
Biserica Sfântul Gheorghe,lacas de cult,44.1890127,27.3428472
Biserica Pogorârea Sfântului Duh,lacas de cult,46.9282892,26.36145
Biserica Adormirea Maicii Domnului (Precista),lacas de cult,46.9333868,26.3604067
Biserica Șieuț,lacas de cult,46.9764771,24.6483582
Biserica Sfântul Daniel,lacas de cult,47.1333629,27.5724612
Biserica Buzești,lacas de cult,44.4488174,24.7200044
Biserica Sfinții Constantin și Elena,lacas de cult,47.1789214,27.5166395
Mănăstirea Clocociov,lacas de cult,44.4117412,24.3639856
Biserica de lemn din Budești Josani,lacas de cult,47.7315836,23.9441494
Biserica Sfântul Ilie,lacas de cult,47.1104748,27.6082243
Biserica Sfânta Ana,lacas de cult,46.5337013,24.5724888
Biserica,lacas de cult,46.5504938,24.5695793
Biserica Clocociov,lacas de cult,44.4164217,24.3695017
Biserica Ortodoxă „Iancu Vechi”,lacas de cult,44.4400149,26.1290681
Biserica Ortodoxă,lacas de cult,46.3330957,21.6932903
Biserica Reformată,lacas de cult,46.3302075,21.6916562
Biserica Baptistă,lacas de cult,46.3285548,21.6894278
Biserica Luterană,lacas de cult,46.325565,21.6876669
Biserica Penticostală,lacas de cult,46.3259406,21.6857649
Biserica Tomești,lacas de cult,47.1249772,27.6957018
Capela Minoriților,lacas de cult,46.1964249,21.3070424
Biserica Sf. Mucenic Gheorghe,lacas de cult,44.2791021,24.990284
Biserica „Sfânta Irina”,lacas de cult,44.4983275,26.1738736
"Biserica Ortodoxă ""Sfântul Vasile cel Mare și Sfântul Serafim de Sarov""",lacas de cult,45.8081098,24.1549692
Biserica Sfântul Andrei,lacas de cult,44.8961817,23.1576934
Biserica Sf Voievozi,lacas de cult,44.0113652,25.2263568
Biserica Dumbrava,lacas de cult,47.0770118,27.5506113
Biserica Ciurea,lacas de cult,47.060399,27.5692741
Biserica Cuvioasa Parascheva,lacas de cult,46.9580355,27.9405632
Biserica Ciortești,lacas de cult,46.9091658,27.8405575
Biserica Dolhești,lacas de cult,46.8760508,27.9001975
